N,Z,binding,A,binding_MeV,N_frontier,d
103,78,7924.1271,181,1434.2670051,117.1,-14.099999999999994
130,91,7656.9809,221,1692.1927789,139.6,-9.599999999999994
52,42,8662.3341,94,814.2594054000001,65.6,-13.599999999999994
101,79,7870.3194,180,1416.657492,119.0,-18.0
25,26,8460.4977,51,431.48538269999995,40.7,-15.700000000000003
80,64,8221.9382,144,1183.9591008,96.6,-16.599999999999994
92,61,8221.1536,153,1257.8365007999998,92.9,-0.9000000000000057
38,34,8644.4902,72,622.4032944,51.7,-13.700000000000003
52,50,8324.4313,102,849.0919926,77.7,-25.700000000000003
40,26,8521.7245,66,562.433817,40.7,-0.7000000000000028
15,17,8072.4058,32,258.3169856,28.099999999999998,-13.099999999999998
18,16,8583.4986,34,291.83895240000004,26.099999999999998,-8.099999999999998
108,77,7963.7226,185,1473.288681,115.7,-7.700000000000003
148,101,7444.0169,249,1853.5602081,154.2,-6.199999999999989
62,51,8465.2762,113,956.5762106,79.3,-17.299999999999997
66,45,8495.6267,111,943.0145637,71.3,-5.299999999999997
20,17,8570.2816,37,317.1004192,28.099999999999998,-8.099999999999998
45,38,8638.4076,83,716.9878308000001,58.8,-13.799999999999997
14,15,8251.2368,29,239.28586720000004,24.7,-10.7
21,15,8307.8692,36,299.08329119999996,24.7,-3.6999999999999993
62,56,8227.0,118,970.7860000000001,86.0,-24.0
24,22,8656.4623,46,398.19726579999997,34.2,-10.200000000000003
40,38,8500.0971,78,663.0075738000002,58.8,-18.799999999999997
118,88,7719.8028,206,1590.2793768,135.8,-17.80000000000001
68,55,8380.3796,123,1030.7866907999999,85.0,-17.0
77,61,8268.3558,138,1141.0331004,92.9,-15.900000000000006
27,27,8569.2199,54,462.7378746,41.7,-14.700000000000003
22,19,8576.0731,41,351.6189971,29.799999999999997,-7.799999999999997
42,37,8601.1401,79,679.4900679,57.4,-15.399999999999999
29,32,8215.0,61,501.115,48.7,-19.700000000000003
49,49,8230.0,98,806.5400000000001,75.7,-26.700000000000003
87,72,7986.561,159,1269.863199,106.9,-19.900000000000006
91,78,7784.0,169,1315.4959999999999,117.1,-26.099999999999994
65,46,8521.7498,111,945.9142278,72.7,-7.700000000000003
44,41,8473.7117,85,720.2654944999999,64.5,-20.5
13,14,8124.342,27,219.357234,23.4,-10.399999999999999
30,34,8075.0,64,516.8,51.7,-21.700000000000003
104,83,7758.2083,187,1450.7849521,129.0,-25.0
32,25,8736.7146,57,497.9927322,39.3,-7.299999999999997
61,44,8561.9016,105,898.9996679999999,69.0,-8.0
84,60,8326.9237,144,1199.0770128,91.6,-7.599999999999994
100,70,8106.6101,170,1378.123717,104.2,-4.200000000000003
82,65,8206.625,147,1206.373875,97.6,-15.599999999999994
83,55,8360.1437,138,1153.6998306,85.0,-2.0
158,108,7298.2611,266,1941.3374525999998,163.8,-5.800000000000011
41,42,8234.0,83,683.422,65.6,-24.599999999999994
2,5,3558.7055,7,24.9109385,11.799999999999999,-9.799999999999999
107,77,7959.1992,184,1464.4926527999999,115.7,-8.700000000000003
23,23,8486.1423,46,390.36254579999996,36.5,-13.5
92,78,7808.2365,170,1327.400205,117.1,-25.099999999999994
128,87,7753.2607,215,1666.9510505,135.2,-7.199999999999989
85,64,8239.4856,149,1227.6833544,96.6,-11.599999999999994
